Nom;Adresse;Téléphone;Site web;Zone;Trouble cognitif léger;Trouble cognitif sévère;Bilanter;Orienter - Domicile;Orienter - Structures;Troubles du comportement 3;Pas d'aidant, Epuisement de l'aidant 3;Maltraitance 3;Perte d'autonomie 2;Chute 2;Déficit sensoriel génants|1;Logement inadapté|1;Faibles ressources économiques|1;Isolement familial et géographique|1;Couleurs
Accueil de jour : Saint Eloy Les Mines : les jardons d'Alois ;allée du jardin d'Alois 63890 Saint Eloy les mines;04 73 52 37 82;;Riom;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour : Saint Eloy Les Mines: les jardons d'Alois ;allée du jardin d'Alois 63890 Saint Eloy les mines;04 73 52 37 82;;Riom;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Ambert : CH préBayle ;14 avenue georges clémenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Ambert: CH préBayle ;14 avenue georges clémenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Aulnat : Les Chenevies ;5 rue Léon Maniez 63510 Aulnat;04 73 73 47 30 ;www.ehpad-leschenevis-aulnat.fr;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Aulnat: Les Chenevies ;5 rue Léon Maniez 63510 Aulnat;04 73 73 47 30 ;www.ehpad-leschenevis-aulnat.fr;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Beauregard  l'Eveque : Résidence gautier ;56 place du Coudert 63116 Beauregard L'Evèque;04 73 68 02 83;www.ehpad-gautier.com;Billom;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Beauregard  l'Eveque : Résidence gautier UANP;56 place du Coudert 63116 Beauregard L'Evèque;04 73 68 02 83;www.ehpad-gautier.com;Billom;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Ceyrat Le Lys Blanc ;28 rue Vercingétorix 63122 Ceyrat;04 73 61 54 54;;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Ceyrat Le Lys Blanc ;28 rue Vercingétorix 63122 Ceyrat;04 73 61 54 54;;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Chamalières : Les Savarounes ;1 r du Roc Blanc 63400 Chamalières;04 73 31 76 00 ;www.ehpad-les-savarounes.com;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Chamalières : Les Savarounes ;1 r du Roc Blanc 63400 Chamalières;04 73 31 76 00 ;www.ehpad-les-savarounes.com;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Clermont :  Le moulin ;11 rue saint James 63000 Clermont Ferrand;04 73 14 63 80;;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Clermont : Le moulin ;11 rue saint James 63000 Clermont Ferrand;04 73 14 63 80;;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Clermont : Les Hortencias ;3 rue berteaux 63000 Clermont Fd;04 73 23 67 50 ;;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Clermont : Résidence Renouard ;1 rue renouard 63000 Clermont Ferrand;04 73 34 98 00;www.orpea.com;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Clermont Les Hortencias ;3 rue berteaux 63000 Clermont Fd;04 73 23 67 50 ;;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Clermont Résidence Renouard ;1 rue renouard 63000 Clermont Ferrand;04 73 34 98 00;www.orpea.com;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Issoire : La Providence ;9 rue de la Safournière, 63500 Issoire;04 73 89 19 81;www.ehpad-laprovidence-issoire.com;Issoire;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Issoire : La Providence ;9 rue de la Safournière, 63500 Issoire;04 73 89 19 81;www.ehpad-laprovidence-issoire.com;Issoire;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de jour Maringues : L'ombelle;rue beaudet Lafarge, 63350 Maringues;04 73 68 60 79;www.maison-retraite-ombelle.com;Thiers;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1
Accueil de jour Maringues : L'ombelle;rue beaudet Lafarge, 63350 Maringues;04 73 68 60 79;www.maison-retraite-ombelle.com;Thiers;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Accueil de nuit : Beauregard l'Eveque ;56 place du Coudert 63116 Beauregard L'Evèque;04 73 68 02 83;;Billom;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1
Accueil de nuit : Beauregard l'Eveque ;56 place du Coudert 63116 Beauregard L'Evèque;04 73 68 02 83;;Billom;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Aides à domicile Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/services-aux-particuliers;Ambert;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/services-aux-particuliers;Ambert;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile Billom;;;www.pagesjaunes.fr/recherche/billom-63/aide-a-domicile;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile Billom;;;www.pagesjaunes.fr/recherche/billom-63/aide-a-domicile;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Aigueperse;153 Grande Rue, 63260 Aigueperse;04 73 63 60 34;www.aigueperse.fr;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Aigueperse;153 Grande Rue, 63260 Aigueperse;04 73 63 60 34;www.aigueperse.fr;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Anzat le Luguet;Le Bourg 63420 Anzat-Le-Luguet;04 73 71 74 68;www.anzat-le-luguet.fr;Issoire;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Anzat le Luguet;Le Bourg 63420 Anzat-Le-Luguet;04 73 71 74 68;www.anzat-le-luguet.fr;Issoire;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Aulnat;32 bis rue de la république 63510 Aulnat;04 73 61 06 77;www.ville-aulnat.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Aulnat;32 bis rue de la république 63510 Aulnat;04 73 61 06 77;www.ville-aulnat.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Beaumont;21 rue René Brut 63 110 Beaumont;04 73 15 15 93;www.beaumont63.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Beaumont;21 rue René Brut 63 110 Beaumont;04 73 15 15 93;www.beaumont63.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Beauregard-l'eveque;64  grande rue 63116 Beau-regard-l'eveque;04 73 68 16 03;www.beauregardleveque.fr;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Beauregard-l'eveque;64  grande rue 63116 Beau-regard-l'eveque;04 73 68 16 03;www.beauregardleveque.fr;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Besse et saint Anastaise;3 route de du chambourguet  63610 Besse et saint anastaise;04 73 79 81 50;www.besse-superbesse.fr/fr/information/78897/ccas;Issoire;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Besse et saint Anastaise;3 route de du chambourguet  63610 Besse et saint anastaise;04 73 79 81 50;www.besse-superbesse.fr/fr/information/78897/ccas;Issoire;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Billom;rue Carnot, 63160 Billom;04 73 73 37 67;www.billom.fr/Centre-communal-action-sociale;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Billom;rue Carnot, 63160 Billom;04 73 73 37 67;www.billom.fr/Centre-communal-action-sociale;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Bourg Lastic;20 route de Clermont 63 048 Bourg Lastic;04 73 21 80 28;www.bourg-lastic.fr;Le Mont Dore;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Bourg Lastic;20 route de Clermont 63 048 Bourg Lastic;04 73 21 80 28;www.bourg-lastic.fr;Le Mont Dore;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Cebazat;Mairie, Cours des Perches 63118 Cebazat;04 73 16 30 3O;www.cebazat.fr/CCAS.html;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Cebazat;Mairie, Cours des Perches 63118 Cebazat;04 73 16 30 3O;www.cebazat.fr/CCAS.html;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Chamalières;CCAS, 17 avenue de Royat 63400 Chamalières;04 73 19 57 64;www.ville-chamalieres.fr/-Centre-Communal-d-Action-Sociale,98-.html;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Chamalières;CCAS, 17 avenue de Royat 63400 Chamalières;04 73 19 57 64;www.ville-chamalieres.fr/-Centre-Communal-d-Action-Sociale,98-.html;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Charensat;Le bourg,  63640 Charensat ;04 73 52 24 83;www.charensat.fr/;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Charensat;Le bourg,  63640 Charensat ;04 73 52 24 83;www.charensat.fr/;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Clermont Ferrand;1 rue saint vincent de Paul  63000 Clermont-Ferrand;04 73 98 07 98;www.clermont-ferrand.fr/2-le-ccas;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Clermont Ferrand;1 rue saint vincent de Paul  63000 Clermont-Ferrand;04 73 98 07 98;www.clermont-ferrand.fr/2-le-ccas;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Coeur de Combrailles;rue Etienne Maison 63390 Saint Gervais d'Auvergne;04 73 85 83 23;mairie-saintgervaisauvergne.fr;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Coeur de Combrailles;rue Etienne Maison 63390 Saint Gervais d'Auvergne;04 73 85 83 23;mairie-saintgervaisauvergne.fr;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Combronde;6 rue de l'hotel de Ville 63460 Combronde;04 73 97 10 25;acombronde.chez.com;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Combronde;6 rue de l'hotel de Ville 63460 Combronde;04 73 97 10 25;acombronde.chez.com;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Cournon d'Auvergne;Maison des citoyens, 15 impasse des Dômes 63800 Cournon;04 73 84 68 79;www.cournon-auvergne.fr/Solidarite/Centre-Communal-d-Action-Sociale;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Cournon d'Auvergne;Maison des citoyens, 15 impasse des Dômes 63800 Cournon;04 73 84 68 79;www.cournon-auvergne.fr/Solidarite/Centre-Communal-d-Action-Sociale;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS DURTOL;Mairie, Square Charles Sabourin 63830 Durtol;04 73 37 37 06;www.durtol.fr/ccas-durtol-puy-de-dome_fr.html;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS DURTOL;Mairie, Square Charles Sabourin 63830 Durtol;04 73 37 37 06;www.durtol.fr/ccas-durtol-puy-de-dome_fr.html;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Gerzat;place de la liberté 63360 Gerzat;04 73  23 55 46;www.ville-gerzat.fr/laction-sociale-a-gerzat;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Gerzat;place de la liberté 63360 Gerzat;04 73  23 55 46;www.ville-gerzat.fr/laction-sociale-a-gerzat;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Giat;Mairie rue de l'hotel de ville, 63620 GIAT;04 73 21 71 67;www.mairie-giat.fr;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Giat;Mairie rue de l'hotel de ville, 63620 GIAT;04 73 21 71 67;www.mairie-giat.fr;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Issoire;24 Rue de la Berbiziale, 63500 Issoire;04 73 89 71 30;www.issoire.fr/Solidarite/Action-sociale/Le-Centre-Communal-d-Action-Sociale;Issoire;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Issoire;24 Rue de la Berbiziale, 63500 Issoire;04 73 89 71 30;www.issoire.fr/Solidarite/Action-sociale/Le-Centre-Communal-d-Action-Sociale;Issoire;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS La Monnerie le Montel;avenue du stade, 63650 La monnerie-le-Montel;04 73 51 49 52;www.lamonnerie-lemontel.fr;Thiers;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS La Monnerie le Montel;avenue du stade, 63650 La monnerie-le-Montel;04 73 51 49 52;www.lamonnerie-lemontel.fr;Thiers;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS La Roche Blanche;1 rue de la mairie, 63670 La roche Blanche;04 73 79 40 09;www.mairie-larocheblanche.fr/social-sante-solidarite/ccas/;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS La Roche Blanche;1 rue de la mairie, 63670 La roche Blanche;04 73 79 40 09;www.mairie-larocheblanche.fr/social-sante-solidarite/ccas/;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Le Brueil sur Couze;2 Place de la Gare, 63340 Le Breuil-sur-Couze;04 73 71 61 09;www.lebreuilsurcouze.fr/fr/information/49917/action-sociale;Issoire;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Le Brueil sur Couze;2 Place de la Gare, 63340 Le Breuil-sur-Couze;04 73 71 61 09;www.lebreuilsurcouze.fr/fr/information/49917/action-sociale;Issoire;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Le cendre;5 Rue Maryse Bastié, 63670 Le Cendre;04 73 69 91 97;www.lecendre.fr/Centre-Communal-d-Action-Social.html;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Le cendre;5 Rue Maryse Bastié, 63670 Le Cendre;04 73 69 91 97;www.lecendre.fr/Centre-Communal-d-Action-Social.html;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Le Mont Dore;1 rue cÙte Boissy 63240 Mont Dore;04 73 65 20 00;www.mairie-mont-dore.fr;Le Mont Dore;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
