Nom;Adresse;TÈlÈphone;Site web;Zone;Trouble cognitif lÈger;Trouble cognitif sÈvËre;Bilanter;Orienter - Domicile;Orienter - Structures;Troubles du comportement|3;Pas díaidant, Èpuisement de líaidant|3;Maltraitance|3;Perte d'autonomie|2;Chute|2;DÈficit sensoriel gÈnants|1;Logement inadaptÈ|1;Faibles ressources Èconomiques|1;Isolement familial et gÈographique|1
Acceuil de jour Ambert : CH prÈBayle ;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;0;1;0;1;0;0;1;0;0;0;0;0;0;0
Acceuil de jour Ambert: CH prÈBayle ;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Aides ‡ domicile Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/services-aux-particuliers;Ambert;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/services-aux-particuliers;Ambert;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CIAS Ambert;13 boulevard de l'Europe 63600 Ambert;04 73 82 27 63;www.ambertlivradoisforez.fr;Ambert;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CIAS Ambert;13 boulevard de l'Europe 63600 Ambert;04 73 82 27 63;www.ambertlivradoisforez.fr;Ambert;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Cunlhat;3 place Lamothe 63590 Cunlhat;04 73 72 32 43;ssiadcunlhat@ehpadmillesourires.fr;Ambert;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Cunlhat;3 place Lamothe 63590 Cunlhat;04 73 72 32 43;ssiadcunlhat@ehpadmillesourires.fr;Ambert;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Livradois Forez;3 avenue du 11 novembre 63600 Ambert;04 73 82 19 69;www.ville-ambert.fr/solidarite-sante/sante/siad-livradois-forez/;Ambert;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Livradois Forez;3 avenue du 11 novembre 63600 Ambert;04 73 82 19 69;www.ville-ambert.fr/solidarite-sante/sante/siad-livradois-forez/;Ambert;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Assistante sociale CIAS d'Ambert;13 boulevard de l'Europe 63600 Ambert;04 73 82 27 63;www.ambertlivradoisforez.fr;Ambert;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale CIAS d'Ambert;13 boulevard de l'Europe 63600 Ambert;04 73 82 27 63;www.ambertlivradoisforez.fr;Ambert;1;1;0;1;0;0;0;0;0;0;0;1;1;0
Assistante sociale conseil dÈpartemental ;Conseil dÈpartemental du Puy-de-DÙme 24 rue Saint-Esprit 63033 Clermont-Ferrand Cedex 1;04 73 42 24 60;www.puy-de-dome.fr/social/seniors/vivre-a-domicile.html;Ambert;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale conseil dÈpartemental ;Conseil dÈpartemental du Puy-de-DÙme 24 rue Saint-Esprit 63033 Clermont-Ferrand Cedex 1;04 73 42 24 60;www.puy-de-dome.fr/social/seniors/vivre-a-domicile.html;Ambert;1;1;0;1;0;0;0;0;0;0;0;1;1;0
AudioprothÈsiste Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/audioprothesistes;Ambert;1;0;0;1;0;0;0;0;0;0;1;0;0;0
CLIC D'Ambert;13 boulevard de l'Europe 63600 Ambert;04 73 82 96 67;www.cliclivradoisforez.org;Ambert;1;1;0;1;0;1;1;1;1;1;1;1;1;1
CLIC D'Ambert;13 boulevard de l'Europe 63600 Ambert;04 73 82 96 67;www.cliclivradoisforez.org;Ambert;1;1;1;0;0;0;0;0;0;0;0;0;1;0
Consultation mÈmoire CH Ambert;14 avenue Georges ClÈmenceau 63600 Ambert;04 73 82 73 93;www.ch-ambert.fr/;Ambert;1;1;1;0;0;1;1;1;1;1;1;1;1;1
CSG Centre Hospitalier Ambert ;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;1;0;1;0;0;1;0;0;1;1;0;0;0;0
CSG Centre Hospitalier Ambert ;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;1;0;0;0;1;0;0;1;1;1;0;0;0;0
